valid_time,Temperature (K),Relative humidity (%)
2024-06-12 05:00:00,286.74463,0.9243106
2024-06-12 06:00:00,289.58862,0.8072285
2024-06-12 07:00:00,291.62805,0.5773526
2024-06-12 08:00:00,292.55554,0.57040906
2024-06-12 09:00:00,293.38623,0.5589378
2024-06-12 10:00:00,294.05847,0.54555976
2024-06-12 11:00:00,294.65332,0.52207446
2024-06-12 12:00:00,294.87988,0.5094099
2024-06-12 13:00:00,294.94543,0.5100206
2024-06-12 14:00:00,294.5807,0.52330214
2024-06-12 15:00:00,293.9588,0.54330766
2024-06-12 16:00:00,293.12848,0.5652313
2024-06-12 17:00:00,292.25208,0.5870179
2024-06-12 18:00:00,291.29865,0.636698
2024-06-12 19:00:00,290.57092,0.707126
2024-06-12 20:00:00,289.23553,0.7943959
2024-06-12 21:00:00,288.30597,0.8412687
2024-06-12 22:00:00,287.55518,0.87492657
2024-06-12 23:00:00,287.19135,0.88572353
2024-06-13 00:00:00,286.74744,0.8961916
2024-06-13 01:00:00,286.51086,0.88752836
2024-06-13 02:00:00,286.3993,0.8683568
2024-06-13 03:00:00,286.38422,0.8544083
2024-06-13 04:00:00,286.08392,0.84792316
2024-06-13 05:00:00,287.0296,0.82679355
2024-06-13 06:00:00,288.77405,0.675407
2024-06-13 07:00:00,289.6073,0.62121886
2024-06-13 08:00:00,290.47693,0.5787368
2024-06-13 09:00:00,291.2832,0.5559866
2024-06-13 10:00:00,292.16687,0.5431131
2024-06-13 11:00:00,292.70642,0.53360146
2024-06-13 12:00:00,291.40234,0.58846253
2024-06-13 13:00:00,290.70325,0.6464332
2024-06-13 14:00:00,290.66345,0.6622732
2024-06-13 15:00:00,290.55078,0.65594006
2024-06-13 16:00:00,289.29822,0.6821457
2024-06-13 17:00:00,288.3291,0.7252676
2024-06-13 18:00:00,287.87708,0.7459675
2024-06-13 19:00:00,287.31226,0.85877365
2024-06-13 20:00:00,286.4391,0.9178562
2024-06-13 21:00:00,285.93433,0.921221
2024-06-13 22:00:00,285.09863,0.9408694
2024-06-13 23:00:00,284.20972,0.96309394
2024-06-14 00:00:00,283.0255,0.9906867
2024-06-14 01:00:00,282.51416,0.9796331
2024-06-14 02:00:00,282.22144,0.95826876
2024-06-14 03:00:00,281.8236,0.94549024
2024-06-14 04:00:00,281.5338,0.9399228
2024-06-14 05:00:00,283.04346,0.9124531
2024-06-14 06:00:00,285.72095,0.88266045
2024-06-14 07:00:00,288.46826,0.6569889
2024-06-14 08:00:00,290.22778,0.53828746
2024-06-14 09:00:00,291.72266,0.4715644
2024-06-14 10:00:00,292.89685,0.43574178
2024-06-14 11:00:00,293.73682,0.42564502
2024-06-14 12:00:00,294.1798,0.4236974
2024-06-14 13:00:00,294.38098,0.42315105
2024-06-14 14:00:00,294.37158,0.4302458
2024-06-14 15:00:00,294.1139,0.44430417
2024-06-14 16:00:00,293.48694,0.4713362
2024-06-14 17:00:00,292.61914,0.51103455
2024-06-14 18:00:00,291.51135,0.5856541
2024-06-14 19:00:00,290.16632,0.7019968
2024-06-14 20:00:00,289.0359,0.7523423
2024-06-14 21:00:00,289.24292,0.68492687
2024-06-14 22:00:00,288.7166,0.7083496
2024-06-14 23:00:00,287.77716,0.7558992
2024-06-15 00:00:00,286.94495,0.7920359
2024-06-15 01:00:00,286.3078,0.8191915
2024-06-15 02:00:00,285.62622,0.8439645
2024-06-15 03:00:00,284.90912,0.8686553
2024-06-15 04:00:00,284.41467,0.8842715
2024-06-15 05:00:00,285.47888,0.88048506
2024-06-15 06:00:00,289.0481,0.72639084
2024-06-15 07:00:00,290.6192,0.5406294
2024-06-15 08:00:00,292.02167,0.41678184
2024-06-15 09:00:00,293.32672,0.35109296
2024-06-15 10:00:00,294.51776,0.3276959
2024-06-15 11:00:00,295.55933,0.32374206
2024-06-15 12:00:00,296.21283,0.33545035
2024-06-15 13:00:00,296.40295,0.35791108
2024-06-15 14:00:00,296.2862,0.3858655
2024-06-15 15:00:00,295.85742,0.4209355
2024-06-15 16:00:00,295.14502,0.46503583
2024-06-15 17:00:00,294.102,0.52350813
2024-06-15 18:00:00,292.88556,0.6048363
2024-06-15 19:00:00,291.18726,0.6912054
2024-06-15 20:00:00,289.6526,0.79471445
2024-06-15 21:00:00,288.82776,0.80786663
2024-06-15 22:00:00,287.87427,0.8412417
2024-06-15 23:00:00,287.0606,0.86875176
2024-06-16 00:00:00,287.15295,0.8570447
2024-06-16 01:00:00,286.9464,0.8559839
2024-06-16 02:00:00,286.54596,0.8680481
2024-06-16 03:00:00,285.77362,0.8910219
2024-06-16 04:00:00,285.43494,0.90241915
2024-06-16 05:00:00,286.63947,0.89766806
2024-06-16 06:00:00,290.5802,0.7081074
2024-06-16 07:00:00,292.32367,0.47894156
2024-06-16 08:00:00,293.73572,0.3906765
2024-06-16 09:00:00,294.7517,0.39419726
2024-06-16 10:00:00,295.6764,0.4074739
2024-06-16 11:00:00,296.24963,0.4241493
2024-06-16 12:00:00,296.61176,0.44197667
2024-06-16 13:00:00,296.7132,0.46161097
2024-06-16 14:00:00,296.58612,0.49271506
2024-06-16 15:00:00,295.94897,0.5418422
2024-06-16 16:00:00,295.06268,0.5965024
2024-06-16 17:00:00,294.20618,0.65124345
2024-06-16 18:00:00,293.1277,0.7232128
2024-06-16 19:00:00,291.51733,0.7900718
2024-06-16 20:00:00,290.2083,0.9026394
2024-06-16 21:00:00,290.10522,0.8636601
2024-06-16 22:00:00,289.0254,0.91046584
2024-06-16 23:00:00,288.46643,0.92618734
2024-06-17 00:00:00,287.75403,0.9427807
2024-06-17 01:00:00,286.8443,0.96356577
2024-06-17 02:00:00,285.68604,0.98779017
2024-06-17 03:00:00,285.07532,0.9955406
2024-06-17 04:00:00,284.92303,0.993924
2024-06-17 05:00:00,286.42505,0.96170133
2024-06-17 06:00:00,289.04065,0.91898537
2024-06-17 07:00:00,292.67688,0.6010556
2024-06-17 08:00:00,294.49005,0.49055257
2024-06-17 09:00:00,295.86182,0.4418237
2024-06-17 10:00:00,296.90906,0.4150816
2024-06-17 11:00:00,297.7478,0.39789212
2024-06-17 12:00:00,298.3435,0.39086246
2024-06-17 13:00:00,298.69263,0.3908073
2024-06-17 14:00:00,298.73547,0.39823094
2024-06-17 15:00:00,298.48938,0.41157258
2024-06-17 16:00:00,297.93762,0.43619144
2024-06-17 17:00:00,297.10693,0.484285
2024-06-17 18:00:00,296.02228,0.55519974
2024-06-17 19:00:00,294.33728,0.67906755
2024-06-17 20:00:00,294.30884,0.6116613
2024-06-17 21:00:00,292.82135,0.6995833
2024-06-17 22:00:00,291.27106,0.77012706
2024-06-17 23:00:00,290.10974,0.81227374
2024-06-18 00:00:00,289.15735,0.84453243
2024-06-18 01:00:00,288.4817,0.8626842
2024-06-18 02:00:00,287.92987,0.8764647
2024-06-18 03:00:00,287.43604,0.8896335
2024-06-18 04:00:00,287.2235,0.89310604
2024-06-18 05:00:00,288.46796,0.8817291
2024-06-18 06:00:00,292.9928,0.7515595
2024-06-18 07:00:00,295.9265,0.5659627
2024-06-18 08:00:00,297.6963,0.4671417
2024-06-18 09:00:00,299.10352,0.39988568
2024-06-18 10:00:00,300.25806,0.36816096
2024-06-18 11:00:00,301.25354,0.3472558
2024-06-18 12:00:00,301.94177,0.33335397
2024-06-18 13:00:00,302.00317,0.34474766
2024-06-18 14:00:00,301.51978,0.37649462
2024-06-18 15:00:00,300.79883,0.41279575
2024-06-18 16:00:00,299.964,0.44500774
2024-06-18 17:00:00,298.9469,0.49182338
2024-06-18 18:00:00,297.69025,0.5724584
2024-06-18 19:00:00,295.97784,0.67545867
2024-06-18 20:00:00,296.0689,0.56718034
2024-06-18 21:00:00,293.91498,0.7015338
2024-06-18 22:00:00,292.3062,0.7705583
2024-06-18 23:00:00,291.24078,0.80238444
2024-06-19 00:00:00,290.4251,0.8317977
2024-06-19 01:00:00,289.89673,0.8496924
2024-06-19 02:00:00,289.48334,0.855747
2024-06-19 03:00:00,289.17163,0.85388076
2024-06-19 04:00:00,289.1363,0.83920085
2024-06-19 05:00:00,290.56793,0.81091714
2024-06-19 06:00:00,294.7547,0.6857281
2024-06-19 07:00:00,298.19244,0.5505496
2024-06-19 08:00:00,300.5122,0.3665651
2024-06-19 09:00:00,301.8324,0.32353944
2024-06-19 10:00:00,302.6541,0.31293085
2024-06-19 11:00:00,303.0144,0.3099688
2024-06-19 12:00:00,303.12732,0.30927148
2024-06-19 13:00:00,303.42218,0.30585682
2024-06-19 14:00:00,303.4933,0.30452374
2024-06-19 15:00:00,303.1671,0.30701935
2024-06-19 16:00:00,302.28528,0.3208561
2024-06-19 17:00:00,301.08624,0.38357854
2024-06-19 18:00:00,299.50726,0.5603785
2024-06-19 19:00:00,299.08917,0.38909733
2024-06-19 20:00:00,296.04688,0.6277224
2024-06-19 21:00:00,294.81714,0.61586666
2024-06-19 22:00:00,293.66357,0.6224465
2024-06-19 23:00:00,292.93182,0.62624145
2024-06-20 00:00:00,291.95966,0.6851458
2024-06-20 01:00:00,291.5398,0.69075394
2024-06-20 02:00:00,291.2746,0.6986263
2024-06-20 03:00:00,291.02582,0.7069468
